X;Y;OBJECTID;id;airport_ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;description;frequency_mhz;runway_length_ft;runway_width_ft;runway_surface;runway_lighted;runway_closed
-109.891.264.921;32.280.105.941;54;9223;28TA;small_airport;Duval County Ranch Co Airport;665;NA;US;US-TX;Freer;no;28TA;;28TA;HOUSTON CNTR;126.625;10280;34;ASPH;0;0
-125.679.707.332;38.827.809.003;55;9236;29AZ;small_airport;Paloma Ranch Airport;737;NA;US;US-AZ;Paloma;no;29AZ;;29AZ;UNICOM;122.8;5500;60;ASPH;1;0
-110.612.732.252;40.415.394.052;56;9277;29TX;small_airport;Lockett Airport;1282;NA;US;US-TX;Vernon;no;29TX;;29TX;FORT WORTH CNTR;127.45;3000;30;ASPH;0;0
-135.034.996.063;46.267.736.442;57;9354;2CL9;small_airport;Mustang Airport;45;NA;US;US-CA;Galt;no;2CL9;;2CL9;CTAF;122.9;4000;40;ASPH;0;0
-133.464.853.732;42.545.716.016;58;14060;2CN4;small_airport;Wonderful Pistachios & Almonds Airport;617;NA;US;US-CA;Lost Hills;no;2CN4;;2CN4;CTAF;122.9;5002;60;ASPH;1;0
-90.787.834.049;49.603.539.895;59;9368;2D7;small_airport;Beach City Airport;984;NA;US;US-OH;Beach City;no;2D7;;2D7;CLEVELAND APP/DEP;125.5;3175;115;TURF-G;1;0
-97.404.409.729;47.004.627.988;60;20770;2IG4;small_airport;Ed-Air Airport;426;NA;US;US-IN;Oaktown;no;KI20;OTN;I20;UNICOM;122.8;5800;100;ASPH;1;0
-134.134.423.771;55.945.624.511;61;9696;2OR1;small_airport;Big Muddy Ranch Airport;1641;NA;US;US-OR;Fossil;no;2OR1;;2OR1;UNICOM;122.8;4185;70;ASPH-G;1;0
-107.086.569.534;37.453.012.672;62;9772;2TA6;small_airport;Pyramid Ranch Airport;362;NA;US;US-TX;Fairfield;no;2TA6;;2TA6;FORT WORTH CNTR;127.45;4700;72;CONC-G;0;0
-109.340.230.381;3.105.791.854;63;9774;2TA8;small_airport;El Coyote Ranch Airport;196;NA;US;US-TX;Encino;no;2TA8;;2TA8;HOUSTON CNTR;126.625;5500;75;ASPH;1;0
-111.097.112.299;33.348.520.084;64;9784;2TE8;closed;Wagner-Braxdale Airport;570;NA;US;US-TX;Crystal City;no;;;;HOUSTON CNTR;126.625;3600;38;ASP;0;0
-11.200.632.845;34.032.815.999;65;9809;2TX3;small_airport;La Fonda Ranch Airport;1020;NA;US;US-TX;Brackettville;no;2TX3;;2TX3;HOUSTON CNTR;126.625;5280;50;ASPH;1;0
-110.625.637.916;32.469.063.598;66;9810;2TX4;small_airport;Lewis Ranch Airport;540;NA;US;US-TX;Encinal;no;2TX4;;2TX4;HOUSTON CNTR;126.625;4800;60;ASPH;1;0
-86.684.150.818;47.176.332.209;67;9835;2VG2;small_airport;Upperville Airport;551;NA;US;US-VA;Upperville;no;2VG2;;2VG2;UNICOM;122.725;5100;100;ASP;1;0
-110.999.890.592;40.260.230.555;68;9880;2XA0;small_airport;Foard County Airport;1479;NA;US;US-TX;Crowell;no;2XA0;;2XA0;FORT WORTH CNTR;127.45;3200;39;ASPH-P;1;0
-106.527.225.676;37.659.146.921;69;9891;2XS3;small_airport;Glad Oaks Airport;487;NA;US;US-TX;Palestine;no;2XS3;;2XS3;FORT WORTH CNTR;127.45;4250;75;ASPH-P;0;0
-109.566.543.437;35.048.995.861;70;9893;2XS5;small_airport;Cross Triangle Ranch Airport;1420;NA;US;US-TX;Twin Sisters;no;2XS5;;2XS5;HOUSTON CNTR;126.625;3000;50;ASPH;0;0
-85.258.039.703;44.424.247.052;71;9985;31VA;small_airport;Aberdeen Field;33;NA;US;US-VA;Smithfield;no;31VA;;31VA;UNICOM;122.75;5921;60;ASPH;1;0
-124.580.983.958;39.276.561.193;72;10080;34AZ;closed;Gila River Memorial Airport;1185;NA;US;US-AZ;Chandler;no;;;;UNICOM;122.8;5200;200;ASPH-P;0;0
-133.567.804.291;4.318.785.928;73;10175;36CA;small_airport;Stone Land County Airport;265;NA;US;US-CA;Stratford;no;36CA;;36CA;CTAF;122.9;3300;30;ASPH;0;0
-133.593.446.668;42.506.750.896;74;10177;36CN;closed;Blackwell Land Company Airport;760;NA;US;US-CA;Lost Hills;no;;;;CTAF;122.9;4200;40;ASPH-TRTD;0;0
-101.634.248.362;54.704.265.387;75;10214;36WI;small_airport;Holland Air Park;730;NA;US;US-WI;Holmen;no;36WI;;36WI;CTAF;122.9;3200;60;ASPH;1;0
-122.916.754.231;4.365.722.055;76;10265;38AZ;closed;Peabody Bedard Field;6564;NA;US;US-AZ;Kayenta;no;;;;AWOS 2;119.225;7500;75;ASPH;1;0
-133.014.544.128;42.582.687.008;77;10268;38CA;closed;Cashen Airport;225;NA;US;US-CA;Wasco;no;;;;UNICOM;122.8;4000;100;ASPH;0;0
-109.626.656.914;31.004.024.428;78;10312;38XS;small_airport;San Rafael Ranch Airport;312;NA;US;US-TX;Santa Elena;no;38XS;;38XS;UNICOM;122.8;6000;75;ASPH;1;0
-7991949.08;5.224.992.174;79;18674;3B3;small_airport;Sterling Airport;459;NA;US;US-MA;Sterling;no;3B3;;3B3;CTAF;122.9;3086;40;ASPH-G;1;0
-99.773.542.301;43.628.016.935;80;10626;3MO4;small_airport;Penman Airport;287;NA;US;US-MO;Portageville;no;3MO4;;3MO4;CTAF;122.9;2600;100;TURF;0;0
-93.523.321.361;48.558.212.968;81;10702;3OH0;small_airport;Andy Barnhart Memorial Airport;895;NA;US;US-OH;New Carlisle;no;3OH0;;3OH0;;122.9;2000;30;ASPH;1;0
-111.770.333.372;35.160.116.469;82;10788;3TA0;small_airport;Four Square Ranch Airport;2250;NA;US;US-TX;Rocksprings;no;3TA0;;3TA0;HOUSTON CNTR;126.625;4000;30;ASPH;1;0
-109.510.307.505;35.193.015.677;83;10793;3TA5;small_airport;Blanco Landing Airport;1460;NA;US;US-TX;Blanco;no;3TA5;;3TA5;HOUSTON CNTR;126.625;3450;30;ASPH;0;0
-11.160.112.727;34.448.003.094;84;10794;3TA6;small_airport;Spring Ranch Airport;1440;NA;US;US-TX;Brackettville;no;3TA6;;3TA6;HOUSTON CNTR;126.625;4280;36;ASPH;0;0
-109.138.181.838;35.050.153.201;85;10820;3TS1;small_airport;White Wings Airport;1083;NA;US;US-TX;Wimberley;no;3TS1;;3TS1;HOUSTON CNTR;126.625;3000;50;ASPH-F;0;0
-106.775.031.769;35.211.764.759;86;10899;3XS8;small_airport;Ken Ada Ranch Airport;250;NA;US;US-TX;Waller;no;3XS8;;3XS8;HOUSTON CNTR;126.625;4200;100;ASPH;1;0
-83.415.703.488;48.762.361.964;87;6523;00A;heliport;Total Rf Heliport;11;NA;US;US-PA;Bensalem;no;00A;;00A;;;80;80;ASPH-G;1;0
-168.863.345.288;8388110.4;88;6524;00AK;small_airport;Lowell Field;450;NA;US;US-AK;Anchor Point;no;00AK;;00AK;;;2500;70;GRVL;0;0
-96.592.258.145;41.455.230.812;89;6525;00AL;small_airport;Epps Airpark;820;NA;US;US-AL;Harvest;no;00AL;;00AL;;;2300;200;TURF;0;0
-174.166.800.639;82.005.771.625;90;506791;00AN;small_airport;Katmai Lodge Airport;80;NA;US;US-AK;King Salmon;no;00AN;;00AN;;;4517;60;GVL;0;0
-101.584.487.778;42.469.118.194;91;6526;00AR;closed;Newport Hospital & Clinic Heliport;237;NA;US;US-AR;Newport;no;;;;;;40;40;GRASS;0;0
-10889052.11;41.561.109.871;92;322127;00AS;small_airport;Fulton Airport;1100;NA;US;US-OK;Alex;no;00AS;;00AS;;;1450;60;Turf;0;0
-124.861.507.868;40.699.107.205;93;6527;00AZ;small_airport;Cordes Airport;3810;NA;US;US-AZ;Cordes;no;00AZ;;00AZ;;;1700;60;GRAVEL;0;0
-11615521.17;49.567.752.424;94;6529;00CO;closed;Cass Field;4830;NA;US;US-CO;Briggsdale;no;;;;;;3900;20;TURF-G;0;0
-91.525.774.106;33.306.030.604;95;6531;00FA;small_airport;Grass Patch Airport;53;NA;US;US-FL;Bushnell;no;00FA;;00FA;;;3200;100;TURF;0;0
-91.666.477.745;33.561.361.024;96;6532;00FD;closed;Ringhaver Heliport;25;NA;US;US-FL;Riverview;no;;;;;;74;74;TURF;0;0
-90.134.501.289;31.523.493.658;97;6533;00FL;small_airport;River Oak Airport;35;NA;US;US-FL;Okeechobee;no;00FL;;00FL;;;4090;100;TURF;0;0
-93.584.401.631;39.976.257.632;98;6534;00GA;small_airport;Lt World Airport;700;NA;US;US-GA;Lithonia;no;00GA;;00GA;;;2600;80;TURF;0;0
-94.328.777.989;40.137.706.449;99;6535;00GE;heliport;Caffrey Heliport;957;NA;US;US-GA;Hiram;no;00GE;;00GE;;;125;95;ASPH;1;0
-173.634.301.628;22.532.438.605;100;6536;00HI;heliport;Kaupulehu Heliport;43;OC;US;US-HI;Kailua-Kona;no;00HI;;00HI;;;1155;45;ASPH-G;0;0
-129.368.829.565;61.310.620.121;101;6537;00ID;small_airport;Delta Shores Airport;2064;NA;US;US-ID;Clark Fork;no;00ID;;00ID;;;3300;40;TURF;0;0
-99.698.183.459;51.577.445.675;102;6539;00IL;small_airport;Hammer Airport;840;NA;US;US-IL;Polo;no;00IL;;00IL;;;2500;75;TURF-F;0;0
-97.138.052.498;50.880.679.635;103;6540;00IN;heliport;St Mary Medical Center Heliport;634;NA;US;US-IN;Hobart;no;00IN;;00IN;;;40;40;MATS;1;0
-99.211.160.594;48.696.631.623;104;6541;00IS;small_airport;Hayenga's Cant Find Farms Airport;820;NA;US;US-IL;Kings;no;00IS;;00IS;;;1600;70;TURF;0;0
-105.676.144.995;46.827.557.009;105;6542;00KS;small_airport;Hayden Farm Airport;1100;NA;US;US-KS;Gardner;no;00KS;;00KS;;;2600;85;TURF;0;0
-94.198.216.447;44.963.266.733;106;6543;00KY;small_airport;Robbins Roost Airport;1265;NA;US;US-KY;Stanford;no;00KY;;00KY;;;2100;100;TURF;0;0
-101.279.400.015;35.282.463.924;107;45437;00LA;heliport;Shell Chemical East Site Heliport;15;NA;US;US-LA;Gonzales;no;00LA;;00LA;;;40;40;TURF;0;0
-99.859.813.709;48.174.229.058;108;6544;00LL;heliport;Ac & R Components Heliport;600;NA;US;US-IL;Chatham;no;00LL;;00LL;;;25;25;CONC;0;0
-102.891.935.197;3.521.081.868;109;6545;00LS;small_airport;Lejeune Airport;12;NA;US;US-LA;Crowley;no;00LS;;00LS;;;2600;100;TURF;0;0
-84.328.743.791;46.869.375.934;110;6546;00MD;small_airport;Slater Field;45;NA;US;US-MD;Federalsburg;no;00MD;;00MD;;;1700;75;TURF;0;0
-96.198.632.928;54.576.153.397;111;6547;00MI;heliport;Dow Chemical Heliport;588;NA;US;US-MI;Ludington;no;00MI;;00MI;;;100;100;TURF;0;0
-106.533.089.012;58.285.553.343;112;6548;00MN;small_airport;Battle Lake Municipal Airport;1365;NA;US;US-MN;Battle Lake;no;00MN;;00MN;;;2949;200;TURF-G;1;0
-105.099.402.138;44.674.124.214;113;6549;00MO;small_airport;Cooper Flying Service Airport;970;NA;US;US-MO;Alba;no;00MO;;00MO;;;2400;25;TURF;0;0
-83.695.785.746;47.896.821.177;114;6551;00N;small_airport;Bucks Airport;105;NA;US;US-NJ;Bridgeton;no;00N;;00N;;;1900;150;TURF-G;1;0
-87.242.642.212;43.123.512.764;115;6552;00NC;small_airport;North Raleigh Airport;348;NA;US;US-NC;Louisburg;no;00NC;;00NC;;;2650;36;ASPH-G;0;0
-82.904.747.434;49.419.294.105;116;6553;00NJ;heliport;Colgate-Piscataway Heliport;78;NA;US;US-NJ;New Brunswick;no;00NJ;;00NJ;;;50;50;ASPH;0;0
-84.012.821.928;42.449.990.454;117;506039;00NR;heliport;Rodanthe Dare County Heliport;8;NA;US;US-NC;Rodanthe;no;00NR;;00NR;;;50;50;CON;1;0
-86.272.274.138;52.967.784.965;118;6554;00NY;small_airport;Weiss Airfield;1000;NA;US;US-NY;West Bloomfield;no;00NY;;00NY;;;2350;80;TURF;1;0
-93.665.981.741;50.998.307.713;119;6555;00OH;closed;Exit 3 Airport;785;NA;US;US-OH;Wauseon;no;;;;;;2695;90;TURF-G;0;0
-93.716.849.182;48.289.684.481;120;6556;00OI;heliport;Miami Valley Hospital Heliport;905;NA;US;US-OH;Dayton;no;00OI;;00OI;;;42;42;CONC;0;0
-107.109.045.901;43.279.826.723;121;328503;00OK;small_airport;Gull Bay Landing Airport;960;NA;US;US-OK;Sandsprings;no;00OK;;00OK;;;2200;60;Turf/Dirt;0;0
-84.321.066.117;48.585.190.983;122;6558;00PA;heliport;R J D Heliport;402;NA;US;US-PA;Coatesville;no;00PA;;00PA;;;80;80;TURF-G;0;0
-89.290.600.325;50.566.187.209;123;45773;00PN;small_airport;Ferrell Field;1301;NA;US;US-PA;Mercer;no;00PN;;00PN;;;500;75;TURF;0;0
-8.612.266.135;49.209.959.896;124;6559;00PS;closed;Thomas Field;815;NA;US;US-PA;Loysville;no;;;;;;3100;100;TURF-G;0;0
-13.590.551.353;54.935.675.446;125;6560;00S;small_airport;McKenzie Bridge State Airport;1620;NA;US;US-OR;Blue River;no;;;00S;;;2600;90;TURF-P;0;0
-8.935.303.459;40.300.642.076;126;6561;00SC;small_airport;Flying O Airport;150;NA;US;US-SC;Sumter;no;00SC;;00SC;;;2900;100;TURF;0;0
-107.422.080.762;55.915.271.889;127;330391;00SD;small_airport;Homan Field;1590;NA;US;US-SD;Gary;no;00SD;;00SD;;;2400;50;Turf;0;0
-108.320.322.186;38.723.503.085;128;6562;00TA;closed;SW Region FAA Heliport;598;NA;US;US-TX;Fort Worth;no;;;;;;85;85;CONC-G;0;0
-108.190.855.281;38.750.927.108;129;6563;00TE;heliport;Tcjc-Northeast Campus Heliport;600;NA;US;US-TX;Fort Worth;no;00TE;;00TE;;;48;48;TURF;0;0
-95.683.107.637;42.342.127.448;130;6564;00TN;small_airport;Ragsdale Road Airport;1100;NA;US;US-TN;Manchester;no;00TN;;00TN;;;1800;150;TURF;0;0
-108.249.295.636;38.433.346.584;131;6565;00TS;small_airport;Alpine Range Airport;670;NA;US;US-TX;Everman;no;00TS;;00TS;;;1200;45;TURF;0;0
-105.731.476.108;34.698.779.863;132;6566;00TX;closed;San Jacinto Methodist Hospital Heliport;19;NA;US;US-TX;Baytown;no;;;;;;50;50;CONC;0;0
-87.941.471.994;4.380.170.323;133;6568;00VA;small_airport;Vaughan Airport;551;NA;US;US-VA;Alton;no;00VA;;00VA;;;1300;100;TURF;0;0
-8.961.162.955;43.922.784.272;134;6569;00VI;small_airport;Groundhog Mountain Airport;2680;NA;US;US-VA;Hillsville;no;00VI;;00VI;;;1500;50;TURF;0;0
-130.735.761.793;58.888.429.127;135;6570;00W;small_airport;Lower Granite State Airport;719;NA;US;US-WA;Colfax;no;;;00W;;;3400;50;GRAVEL-F;0;0
-13.666.916.877;59.712.419.578;136;6571;00WA;small_airport;Howell Airport;150;NA;US;US-WA;Longbranch;no;00WA;;00WA;;;1105;70;TURF-G;0;0
-99.130.120.358;55.126.544.584;137;6572;00WI;small_airport;Northern Lite Airport;860;NA;US;US-WI;Waupaca;no;00WI;;00WI;;;1000;60;TURF;0;0
-130.520.990.371;58.205.028.056;138;6573;00WN;small_airport;Hawks Run Airport;2900;NA;US;US-WA;Asotin;no;00WN;;00WN;;;1440;50;TURF-G;0;0
-88.906.531.937;46.971.924.273;139;6574;00WV;small_airport;Lazy J. Aerodrome;2060;NA;US;US-WV;Beverly;no;00WV;;00WV;;;1800;100;TURF;0;0
-113.472.407.519;38.997.382.272;140;6575;00XS;closed;L P Askew Farms Airport;3110;NA;US;US-TX;O'Donnell;no;;;;;;1475;75;TURF-F;0;0
-169.506.193.386;90.864.347.664;141;6576;01A;small_airport;Purkeypile Airport;1950;NA;US;US-AK;Purkeypile;no;01A;;01A;;;1175;40;GRAVEL-F;0;0
-166.362.803.405;84.233.473.793;142;6577;01AK;heliport;Providence Seward Medical Center Heliport;120;NA;US;US-AK;Seward;no;01AK;;01AK;;;40;40;CONC;1;0
-96.306.833.788;38.881.384.448;143;6578;01AL;small_airport;Ware Island Airport;344;NA;US;US-AL;Clanton;no;01AL;;01AL;;;2500;160;TURF;1;0
-105.034.417.947;40.351.759.888;144;6579;01AR;heliport;DeQueen Medical Center Heliport;440;NA;US;US-AR;DeQueen;no;01AR;;01AR;;;55;55;CONC;1;0
-124.522.984.277;41.106.563.524;145;6580;01AZ;heliport;Yat Heliport;3300;NA;US;US-AZ;Camp Verde;no;01AZ;;01AZ;;;210;150;TURF;0;0
-95.484.294.927;53.641.277.738;146;6581;01C;closed;Grant Airport;815;NA;US;US-MI;Grant;no;;;;;;2517;120;TURF-G;1;0
-130.655.752.023;40.783.556.242;147;6582;01CA;heliport;SCE Lugo Substation Heliport;3733;NA;US;US-CA;Hesperia;no;01CA;;01CA;;;20;20;ASPH;0;0
